                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2223,                 1.3716,                 1.3174,                 1.2438,                0.92109,                    0.9,                 0.9567,                0.49043,                0.91495,                  0.894,                0.95135,                0.49156,                 1.5329,                   3.09,                0.97259,                   1.68,              0.0013466,              0.0013466,              0.0013466
                     35,                  1.208,                 1.3038,                 1.2812,                 1.2283,                0.91853,                  0.912,                0.93973,                0.41866,                0.91365,                0.89934,                0.94843,                0.46825,                 1.9229,                 2.9778,                0.94194,                 2.0931,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.1807,                 1.3319,                 1.2325,                 1.2198,                0.93378,                  0.938,                0.97548,                0.53874,                0.92362,                  0.925,                0.96382,                0.50655,                 1.3892,                  2.947,                 0.9514,                 1.5549,               0.001307,               0.001307,               0.001307
                     37,                 1.2123,                 1.3458,                 1.2635,                 1.2283,                0.92009,                  0.921,                0.96422,                0.46817,                0.90855,                  0.901,                0.94721,                0.48785,                 1.6105,                 2.9928,                 1.0457,                 1.7399,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.1948,                 1.2938,                 1.2244,                 1.2169,                0.88862,                  0.925,                0.95841,                0.53632,                0.87704,                0.90589,                0.94413,                0.49242,                 1.3737,                 3.6042,                 1.0021,                  1.538,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.1539,                 1.2915,                 1.2049,                  1.212,                0.94755,                0.93935,                0.96102,                0.43579,                0.94351,                0.93535,                0.95896,                0.49717,                  1.863,                 2.7982,                0.90774,                 2.0011,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.1672,                 1.2834,                 1.2179,                 1.2088,                0.89816,                  0.893,                0.91831,                0.40075,                0.90309,                  0.891,                0.92716,                0.46058,                 1.8201,                 2.9865,                 1.0311,                 1.9681,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.2022,                 1.3272,                 1.2366,                  1.215,                 0.9175,                  0.904,                0.95003,                0.48336,                0.90347,                0.89852,                0.94292,                0.50301,                 1.6422,                 3.0082,                0.96458,                 1.7415,               0.001208,               0.001208,               0.001208
                     42,                 1.1813,                 1.2987,                 1.2433,                 1.2223,                0.92548,                   0.95,                0.97181,                0.51176,                0.90804,                  0.931,                0.95445,                 0.5068,                  1.549,                 2.8925,                0.92864,                 1.7062,              0.0011882,              0.0011882,              0.0011882
                     43,                  1.156,                 1.2845,                 1.1989,                 1.2013,                0.91341,                  0.938,                0.95534,                0.46477,                0.91623,                  0.934,                0.95627,                0.49525,                 1.6849,                 2.7104,                0.98384,                 1.8258,              0.0011684,              0.0011684,              0.0011684
